author_id,author
1,J.K. Rowling
2,Mary Grandpré
3,W. Frederick Zimmerman
4,Douglas Adams
5,Stephen Fry
6,Bill Bryson
7,J.R.R. Tolkien
8,Alan Lee
9,Chris Smith
10,Christopher Lee
11,Richard Taylor
12,Jude Fisher
13,Dave Thomas
14,David Heinemeier Hansson
15,Leon Breedt
16,Mike Clark
17,Thomas Fuchs
18,Andreas Schwarz
19,Gary Paulsen
20,Donna Ickes
21,Edward Sciranko
22,Keith Vasconcelles
23,Molly Hatchet
24,Dale Peck
25,Angela Knight
26,Sahara Kelly
27,Judy Mays
28,Marteeka Karland
29,Kate Douglas
30,Shelby Morgen
31,Lacey Savage
32,Kate Hill
33,Willa Okati
34,Delia Sherman
35,Patricia A. Mckillip
36,Zilpha Keatley Snyder
37,Kate Horsley
38,Philippa Carr
39,Edward P. Jones
40,Kevin R. Free
41,Satyajit Das
42,Mark Smylie
43,John Mcphee
44,William Howarth
45,Wendy Wasserstein
46,Heidi Hayes Jacobs
47,Heidi Boyd
48,Heidi Baker
49,Rolland Baker
50,Johanna Spyri
51,Beverly Cleary
52,Angelo Rinaldi
53,Heidi Murkoff
54,Sharon Mazel
55,Arlene Eisenberg
56,Sandee Hathaway
57,Mark D. Widome
58,Heidi Fleiss
59,Libby Keatinge
60,Frank Herbert
61,Brian Herbert
62,Kevin J. Anderson
63,Gary Russell
64,Bryce Courtenay
65,John C. Maxwell
66,Stephen R. Graves
67,Thomas G. Addington
68,Dave Lakhani
69,Louis E. Catron
70,Adam Ginsberg
71,Marsha Collier
72,Chris Malta
73,Lisa Suttora
74,Julia Wilkinson
75,Lucas Carlson
76,Leonard Richardson
77,Ruby Ann Boxcar
78,Rob Orsini
79,Leo Tolstoy
80,Richard Pevear
81,Larissa Volokhonsky
82,David Magarshack
83,Priscilla Meyer
84,John Bayley
85,Marianne Sturman
86,Amy Mandelker
87,Constance Garnett
88,Louise Maude
89,Aylmer Maude
90,Gloria Goldreich
91,Anthony Thorlby
92,Mulk Raj Anand
93,E.M. Forster
94,John Banville
95,Eliot Ness
96,Oscar Fraley
97,Narendra Jadhav
98,V.T. Rajshekar
99,Y.N. Kly
100,Vasant Moon
101,Gail Omvedt
102,Eleanor Zelliot
103,Barry R. Cournoyer
104,John Carratello
105,Patty Carratello
106,Theresa Wright
107,George Smoot
108,Keay Davidson
109,Madeleine L'Engle
110,Tara Maccarthy
111,Cynthia Harrod-Eagles
112,Charles Todd
113,Ewan Mcgregor
114,Charley Boorman
115,Robert Uhlig
116,Daniel Abraham
117,Charles Willeford
118,James Lee Burke
119,Lawrence Block
120,Elmore Leonard
121,Tom Wolfe
122,Edward Lear
123,Laura Huliska-Beith
124,Edward Mendelson
125,Quentin Blake
126,Henry Miller
127,Thomas H. Moore
128,Jiří Níl
129,Henry James
130,Patricia Crick
131,Gabriel Brownstein
132,Mary Cregan
133,Marguerite Duras
134,Barbara Bray
135,Richard Seever
136,Kahlil Gibran
137,Suheil Bushrui
138,Salma H. Al-Kuzbari
139,Jean Gibran
140,جبران خليل جبران
141,John Walbridge
142,Robin Waterfield
143,Anthony Rizcallah Ferris
144,Robert Louis Stevenson
145,Scott Mckowen
146,N.C. Wyeth
147,Timothy Meis
148,Milo Winter
149,Deidre S. Laiken
150,A.J. Mcallister
151,Ralph Ginzburg
152,Gabriel García Márquez
153,Dr. Seuss
154,Debbie Raleigh
155,Kevin Henkes
156,Patrick Süskind
157,Robert A. Heinlein
158,Nick Webb
159,Terry Jones
160,Christopher Cerf
161,Susan Nanus
162,Norton Juster
163,Harry G. Frankfurt
164,Nick Flynn
165,Garry Wills
166,Abraham Lincoln
167,Michael Mccurdy
168,Don Delillo
169,Thomas Pynchon
170,Christophe Claro
171,Brice Matthieussent
172,Richard Fariña
173,Joan Didion
174,John Leonard
175,David Thomson
176,Paul Auster
177,Art Spiegelman
178,Luc Sante
179,Peter Moon
180,Preston B. Nichols
181,Nina Helms
182,Jared Diamond
183,Stephen Leeb
184,Glen C. Strathy
185,Joseph A. Tainter
186,Robert D. Putnam
187,Philip K. Howard
188,Joy Harjo
189,Gloria Bird
190,Beth Cuthand
191,Valerie Martinez
192,Patricia Blanco
193,Nikola Tesla
194,Marc J. Seifer
195,William H. Terbo
196,Carol Dommermuth-Costa
197,David Hatcher Childress
198,Julie Elizabeth Leto
199,Leslie Kelly
200,Kimberly Raye
201,Chad Fowler
202,Andy Hunt
203,Maureen Kelly
204,Cliffsnotes
205,William Golding
206,Victor Davis Hanson
207,Ephraim Sevela
208,Antonina W. Bouis
209,Alice Sebold
210,Sharyn Mccrumb
