publisher_id,publisher
1,Scholastic Inc.
2,Nimble Books
3,Gramercy Books
4,Del Rey Books
5,Crown
6,Random House
7,Wings Books
8,Broadway Books
9,William Morrow Paperbacks
10,Ballantine Books
11,Houghton Mifflin
12,Pragmatic Bookshelf
13,Atheneum Books for Young Readers: Richard Jackson Books
14,Teacher Created Resources
15,Delacorte Press
16,Cherry Lane Music Company
17,The New Press
18,Changeling Press
19,Viking Juvenile
20,Firebird
21,iUniverse
22,Shambhala
23,Ivy Books
24,Amistad
25,HarperAudio
26,Harper Paperbacks
27,FT Press
28,Archaia
29,Farrar  Straus and Giroux
30,Farrar Straus and Giroux
31,Dramatists Play Service Inc.
32,Vintage
33,Routledge
34,North Light Books
35,Chosen Books
36,Association for Supervision & Curriculum Development
37,Kingfisher
38,ASCD
39,Sovereign World
40,Workman Publishing Company
41,One Hour Entertainment
42,Ace Books
43,Tor Books
44,Putnam
45,Tor Science Fiction
46,Delacorte Books for Young Readers
47,Thomas Nelson
48,Wiley
49,Heinemann Drama
50,McGraw-Hill
51,O'Reilly Media
52,Citadel
53,Penguin Classics
54,Signet
55,Penguin Books
56,Cliffs Notes
57,Barnes & Noble Classics
58,Dover Publications
59,Barnes & Noble
60,Mira books
61,Cambridge University Press
62,Buccaneer Books
63,Scribner
64,Clarity Press
65,Rowman & Littlefield Publishers
66,Pearson
67,Harper Perennial
68,EMC
69,Paradigm Publishing
70,Teaching Resources
71,Turtleback Books
72,Little  Brown Book Group
73,William Morrow
74,Atria Books
75,Vintage Crime
76,Black Lizard
77,Picador USA
78,Sterling
79,Puffin
80,New Directions Publishing
81,Grove Press
82,New Directions
83,Brookline Books
84,Pantheon
85,One World (UK)
86,Interlink Publishing Group
87,Knopf
88,Sterling Children's Books
89,Simon & Schuster
90,Atheneum Books for Young Readers
91,Abdo Publishing Company
92,Black Classic Press
93,French & European Publications
94,Zebra
95,Greenwillow Books
96,Booket
97,Del Rey
98,Ace
99,Pocket Books
100,Samuel French  Inc.
101,Princeton University Press
102,W. W. Norton & Company
103,HMH Books for Young Readers
104,Vintage Contemporaries
105,Penguin Press
106,Back Bay Books
107,Knopf Publishing Group
108,Vintage International
109,Everymans Library
110,Sun and Moon Press
111,Sky Books (NY)
112,Picador
113,Henry Holt & Company
114,Actes Sud
115,Business Plus
116,Filiquarian Publishing  LLC.
117,Lerner Publications
118,Adventures Unlimited Press
119,Harlequin Blaze
120,Listening Library
121,HarperCollinsPublishers
122,Large Print Press
123,Peachpit Press
124,Taschen
125,Bantam
126,HarperTorch
127,Walker & Company
128,Haynes Manuals N. America  Inc.
129,Rockport Publishers
130,Signet Classics
131,Oxford University Press
132,Plume
133,Dutton
134,NAL
135,For Dummies
136,Random House Trade Paperbacks
137,Lyons Press
138,Alliance Publishing
139,Alfred A.Knopf
140,Bedford Books
141,Dey Street Books
142,Vintage Espanol
143,Plaza y Janés
144,Vintage Books USA
145,Wisdom Publications
146,Rough Guides
147,Lonely Planet
148,Geoplaneta
149,Mariner Books
150,Avon
151,Payot
152,Spectra Books
153,Spectra
154,Bantam Books (NY)
155,Two Plus Two Publishing LLC
156,Basic Books (AZ)
157,Ignatius Press
158,HarperOne
159,VIZ Media
160,Borgo Press
161,It Books
162,Newmarket Press
163,Oni Press
164,Moody Publishers (Chicago)
165,Umbriel
166,FonoLibro
167,Anchor
168,Pocket
169,Corgi Books
170,Bantam Press
171,Pinnacle
172,Gallery Books
173,Tarcherperigee
174,High Roads Media
175,Firebrand Books
176,Berkley Books (NY)
177,Recorded Books  Inc.
178,University of Chicago Press
179,Howard Publishing Co
180,Zondervan
181,Delta
182,HarperCollins Publishers  Inc.
183,Rodale Books
184,High Point Media
185,John Wiley & Sons
186,B Books
187,Red Dress Ink
188,Ryland Peters & Small
189,Clarkson Potter
190,Publishers
191,Ediciones B
192,Putnam Publishing Group
193,Harvest Books
194,Gallimard
195,Anchor Books
196,Lulu.com
197,Jossey-Bass
198,Prentice Hall Press
199,Little Brown
200,Crown Publishing Group
201,Bradygames
202,Penguin (Business)
203,Tor Classics
204,Doubleday Books
205,Warner Books (NY)
206,Continuum
207,Stackpole Books
208,Prometheus Books
209,St. Augustines Press
210,Hackett Publishing Company  Inc.
211,Cornell University Press
212,Bolchazy-Carducci Publishers
213,Harvard University Press
214,Atelos Press
215,Harvard Common Press
216,Viking UK
217,Gramercy
218,Applause Books
219,Nonpareil Books
220,Bryn Mawr Commentaries
221,New York Review of Books
222,Bantam Classic
223,Loeb Classical Library
224,Bloomsbury Methuen Drama
225,Bristol Classical Press
226,University of Pennsylvania Press
227,Kessinger Publishing
228,New American Library
229,Prestwick House - (Literary Touchstone Classic)
230,Signet Books
231,Focus Publishing
232,R. Pullins Company
233,Harcourt
234,Berrett-Koehler Publishers
235,Anagrama
236,Granta UK
237,Longman Publishing Group
238,Seix Barral
239,New City Press
240,University of California Press
241,Library of Liberal Arts
242,Bobb-Merrill (Indianapolis  IN)
243,Hackett Publ. Co Inc
244,Ecco Press
245,Santillana USA Publishing Company
246,Harcourt Brace
247,University of Oklahoma Press
248,Wayne State University Press
249,Everyman
250,Tarcher
251,Three Rivers Press
252,North Point Press
253,Warner Books
254,Jove
255,Knopf Books for Young Readers
256,Libraries Unlimited
257,Owl Books (Henry Holt)
258,Pantheon Books (NY)
259,Villard
260,Modern Library
261,Planeta Publishing
262,Mountaineers Books
263,Library of America
264,Collector's Library
265,Spark Publishing
266,Egmont Books Ltd
267,Touchstone
268,Arthur A. Levine Books
269,Bloomsbury Academic
270,Bloomsbury Publishing
271,Digireads.com
272,OUP Oxford
273,Plume Books
274,BBC Worldwide
275,Viking Books
276,MIT Press
277,Copernicus Books
278,Running Press Book Publishers
279,ReganBooks
280,Batsford
281,Grand Central Life & Style
282,MTV Books
283,G. P. Putnam's Sons
284,Jones Books
285,Amadeus
286,McGraw-Hill Humanities
287,Social Sciences
288,Languages
289,Simple Productions
290,Free Press
291,HJ Kramer
292,Berkley Publishing Group
293,Da Capo Press
294,Fawcett
295,Grand Central Publishing
296,Rutgers University Press
297,Atheneum Books
298,Dell Yearling
299,Phoenix Audio
300,Penguin Books Australia Ltd.
301,Peter Smith Publisher Inc.
302,Two Lions
303,Punto de Lectura
304,Naxos Audiobooks
305,Candlewick Press
306,Inner City Books
307,University of Illinois Press
308,University Press of Kansas
309,Jove Books
310,Vacation Work Publications
311,Hampton Roads Publishing Company
312,Orion Publishing Group
313,Crossroad
314,Vintage Classics
315,Alfaguara
316,Castle Books
317,Rupa & Co
318,Schirmer Mosel
319,Teachers College Press
320,McGraw-Hill Education
321,Hachette Books
322,Westminster John Knox Press
323,Caedmon
324,Prima Lifestyles
325,North Atlantic Books
326,Barron's Educational Series
327,Washington Square Press
328,Schocken
329,Yale University Press
330,A K PETERS
331,Health Communications Inc
332,Owl Publishing Company
