,bookID,author_id,language_id,publisher_id,average_rating,ratings_count,text_reviews_count,time_id
0,1,1,1,1,4.57,2095690,27591,38975
1,1,2,1,1,4.57,2095690,27591,38975
2,2,1,1,1,4.49,2153167,29221,38230
3,2,2,1,1,4.49,2153167,29221,38230
4,4,1,1,1,4.42,6333,244,37925
5,5,1,1,1,4.56,2339585,36325,38107
6,5,2,1,1,4.56,2339585,36325,38107
7,8,1,1,1,4.78,41428,164,38242
8,8,2,1,1,4.78,41428,164,38242
9,9,3,1,2,3.74,19,1,38467
10,10,1,1,1,4.73,28242,808,38606
11,12,4,1,3,4.38,3628,254,38656
12,13,4,1,4,4.38,249558,4080,37375
13,14,4,1,5,4.22,4930,460,38201
14,16,4,1,6,4.22,1266,253,38433
15,16,5,1,6,4.22,1266,253,38433
16,18,4,1,7,4.38,2877,195,35080
17,21,6,1,8,4.21,248558,9396,38243
18,22,6,1,8,3.44,7270,499,37592
19,23,6,1,8,3.87,2088,131,38243
20,24,6,1,8,4.07,72451,4245,37025
21,25,6,1,8,3.9,49240,2211,36704
22,26,6,1,9,3.83,45712,2257,33112
23,27,6,1,9,3.86,48701,2238,34055
24,28,6,1,9,3.91,80609,3301,35577
25,29,6,1,9,3.93,28489,2085,33508
26,30,7,1,10,4.59,101233,1550,41176
27,31,7,1,11,4.5,1710,91,38280
28,34,7,1,11,4.36,2128944,13670,37868
29,35,7,1,11,4.5,1618,140,37529
30,35,8,1,11,4.5,1618,140,37529
31,36,9,1,11,4.53,19822,46,37929
32,36,10,1,11,4.53,19822,46,37929
33,36,11,1,11,4.53,19822,46,37929
34,37,12,1,11,4.5,359,6,38305
35,45,13,1,12,3.84,1430,59,38560
36,45,14,1,12,3.84,1430,59,38560
37,45,15,1,12,3.84,1430,59,38560
38,45,16,1,12,3.84,1430,59,38560
39,45,17,1,12,3.84,1430,59,38560
40,45,18,1,12,3.84,1430,59,38560
41,50,19,1,13,3.72,270244,12017,36616
42,51,20,1,14,4.0,36,2,34573
43,51,21,1,14,4.0,36,2,34573
44,51,22,1,14,4.0,36,2,34573
45,53,19,1,15,3.88,2067,334,36913
46,54,23,1,16,4.33,6,0,37781
47,55,24,1,17,3.45,99,16,38656
48,57,25,1,18,3.76,167,4,38656
49,57,26,1,18,3.76,167,4,38656
50,57,27,1,18,3.76,167,4,38656
51,57,28,1,18,3.76,167,4,38656
52,57,29,1,18,3.76,167,4,38656
53,57,30,1,18,3.76,167,4,38656
54,57,31,1,18,3.76,167,4,38656
55,57,32,1,18,3.76,167,4,38656
56,57,33,1,18,3.76,167,4,38656
57,58,34,1,19,3.6,978,111,38945
58,59,35,1,20,4.06,4454,302,37724
59,61,36,1,21,4.17,1176,96,38145
60,63,37,1,22,3.55,301,43,38453
61,66,38,1,23,3.98,345,12,33112
62,67,39,1,24,3.83,29686,2626,38957
63,68,39,1,25,3.83,55,12,38152
64,68,40,1,25,3.83,55,12,38152
65,69,39,1,26,3.83,22,3,38152
66,71,41,1,27,3.83,1456,82,38851
67,72,42,1,28,4.13,52,4,38699
68,74,43,1,29,4.42,562,37,30102
69,74,44,1,29,4.42,562,37,30102
70,75,43,1,30,3.95,1630,203,38852
71,76,43,1,29,4.17,268,22,31502
72,77,43,1,29,4.24,3498,305,33116
73,78,43,1,29,4.34,3115,228,36165
74,79,43,1,29,4.22,5704,261,33328
75,80,43,2,29,3.92,698,52,34424
76,81,43,1,29,4.23,542,36,34424
77,83,43,1,29,4.23,1341,98,32081
78,85,45,1,31,3.75,1423,70,37315
79,86,45,1,32,3.84,2766,64,33420
80,89,46,1,33,3.94,31,1,38804
81,90,47,1,34,3.77,62,4,38789
82,91,48,1,35,4.46,860,53,37864
83,91,49,1,35,4.46,860,53,37864
84,92,46,1,36,3.68,77,2,35457
85,93,50,1,37,3.99,153317,2257,37574
86,93,51,1,37,3.99,153317,2257,37574
87,93,52,1,37,3.99,153317,2257,37574
88,94,46,1,38,3.25,55,5,38305
89,96,49,1,39,4.46,34,6,37738
90,96,48,1,39,4.46,34,6,37738
91,98,53,1,40,3.89,11797,659,37909
92,98,54,1,40,3.89,11797,659,37909
93,98,55,1,40,3.89,11797,659,37909
94,98,56,1,40,3.89,11797,659,37909
95,98,57,1,40,3.89,11797,659,37909
96,99,58,1,41,3.82,34,8,38116
97,99,59,1,41,3.82,34,8,38116
98,100,47,1,34,3.78,78,4,38217
99,103,60,1,42,3.84,2785,166,31942
100,105,60,1,42,3.91,38778,568,31958
101,106,60,1,42,3.88,97494,2359,31972
102,107,61,1,43,4.01,784,21,38168
103,109,60,1,44,3.86,272,20,30787
104,110,60,1,45,3.88,4789,83,38957
105,110,61,1,45,3.88,4789,83,38957
106,110,62,1,45,3.88,4789,83,38957
107,117,60,1,42,3.86,45388,644,32003
108,119,63,1,11,4.59,26153,102,37418
109,122,64,1,10,4.35,69167,4551,35336
110,123,64,1,46,4.35,45,13,38607
111,129,65,1,47,4.28,16,1,38291
112,129,66,1,47,4.28,16,1,38291
113,129,67,1,47,4.28,16,1,38291
114,130,68,1,48,3.34,174,16,38855
115,131,69,1,49,3.67,10,0,36562
